Ecuador,76.3,88.4,93.3,118.2,139.7,150.7,159.2,167,173.4,173.5,171.4,175.5,177.9,,218
Egypt,331.1,391.6,516.5,614.5,829.2,843.8,862.6,881.5,907.2,946.8,988,1029.3,1084,,818
El Salvador,23.8,30,33,35.6,38.8,40.3,41.5,42.4,43.1,44.1,45.2,46.3,47.5,,222
Equatorial Guinea,0.4,0.9,6.6,23.8,32.1,34.2,37,35.5,35.6,32.4,29.5,28.1,27.3,,226
Eritrea,..,4.9,5.7,6.5,6.2,6.8,..,..,..,..,..,..,..,,232
Estonia,..,16.3,21.9,30.9,30.3,32.6,34,34.6,35.6,36.3,37.6,39.4,40.9,,233
Ethiopia,31.4,32.9,41.1,56.2,94.2,104.7,113.8,125.8,138.7,153.1,167.6,183.5,196,,231
Fiji,4.3,4.9,5.4,6.1,6.3,6.5,6.6,6.9,7.3,7.6,7.8,8.2,8.6,,242
Finland,144.1,141,180.6,205.2,213.7,219.2,216.1,214.4,213.1,214.2,220.1,225.9,231.2,,246
France,1715.9,1829.5,2114,2298.1,2394,2446.5,2454.1,2468.3,2491.9,2519.6,2547.2,2604.8,2649.7,,250
Gabon,18.6,21.6,21.9,23.6,25.2,27,28.4,30,31.3,32.5,33.2,33.3,33.7,,266
Gambia,1.4,1.5,1.9,2.2,2.8,2.7,2.8,2.9,2.9,3.1,3.1,3.2,3.5,,270
Georgia,38.3,10.8,14.4,20.5,26.4,28.3,30.1,31.2,32.6,33.5,34.5,36.2,37.9,,268
Germany,2485.2,2748.7,3022.5,3109.4,3306.1,3427.1,3444,3460.9,3536.2,3597.7,3678.4,3757.8,3811.3,,276
Ghana,28.1,34.6,42.8,54.7,75,85.5,93.5,100.3,103.2,105.5,109.1,118,125.4,,288
Greece,210.9,224.4,268.4,324.8,319.5,290.3,269.1,260.4,262.3,261.2,260.7,264.6,269.7,,300
Grenada,0.7,0.7,1,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,,308
Guatemala,47.3,58.3,70.7,82.1,98.2,102.3,105.4,109.3,113.8,118.5,122.2,125.6,129.5,,320
Guinea,8.5,10.3,12.5,14.6,17,17.9,19,19.7,20.5,21.3,23.6,26.7,29,,324
Guinea-Bissau,1.6,1.9,1.7,1.8,2.2,2.4,2.3,2.4,2.4,2.6,2.7,2.9,3,,624
Guyana,2.1,3,3.4,3.5,4.4,4.6,4.8,5.1,5.3,5.4,5.6,5.7,5.9,,328
Haiti,14.9,13.1,14.9,14.5,15,15.8,16.3,17,17.5,17.7,17.9,18.2,18.4,,332
Honduras,15.9,18.5,21.7,27.3,32.5,33.8,35.2,36.2,37.3,38.7,40.2,42.1,43.7,,340
Hungary,..,158.3,183.4,226.6,224.1,227.8,224.1,228.7,238.4,246.8,252.5,262.9,275.9,,348
Iceland,7.7,7.8,9.8,12.1,12.8,13,13.2,13.7,14,14.6,15.7,16.4,17.2,,352
India,1664.2,2132.2,2863.6,3914.5,5494.1,5782,6097.5,6486.9,6967.6,7524.8,8139.5,8722.9,9332,,356
Indonesia,839.2,1184.3,1228.2,1547.2,2045.3,2171.5,2302.5,2430.4,2552.1,2676.5,2811.3,2953.7,3106.5,,360
Iran (Islamic Republic of),640.6,753.5,868.7,1099.7,1338,1373.4,1271.1,1268.6,1327,1309.5,1484.9,1540.7,1540.7, a,364
Iraq,201.3,132.6,287,294.3,391.2,420.8,479.4,515.8,519.4,532.3,604.5,594.4,598.2,,368
Ireland,76.1,95.5,149.9,193.8,198.4,205.8,206.2,208.9,227.3,284.4,298.6,320.2,341.5,,372
Israel,96.6,133.7,168.5,184.4,226.2,237.4,242.4,252.5,262.3,269,279.8,289.5,299,,376
Italy,1766.3,1884.5,2080.4,2179.9,2145.9,2158.3,2097.4,2061.2,2063.5,2082.6,2105.9,2141.4,2159.8,,380
Jamaica,17.7,21.4,21.1,23.1,22.5,22.9,22.8,22.9,23.1,23.3,23.6,23.8,24.3,,388
Japan,3778.1,4067.4,4296.4,4556.1,4578.5,4573.2,4641.6,4734.4,4752.1,4810.3,4839.6,4932.9,4971.8,,392
Jordan,22.4,31.6,37,50.4,68.2,69.9,71.8,73.8,76.1,77.9,79.5,81.2,82.7,,400
Kazakhstan,213.3,131,148.1,242.6,328,352.3,369.2,391.3,407.8,412.7,417.2,434.3,452.1,,398
Kenya,55.7,60.3,67.1,80.2,102.4,108.6,113.6,120.3,126.7,134,141.8,148.7,158.1,,404
Kiribati,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,296
Kuwait,..,130.5,143.4,212.8,225.5,247.2,263.6,266.6,267.9,269.5,277.4,267.7,271.1,,414
Kyrgyzstan,15.3,7.7,10.2,12.2,15.2,16.1,16.1,17.8,18.5,19.3,20.1,21,21.8,,417
Lao People's Democratic Republic,7.3,9.8,13.2,17.9,26.4,28.5,30.8,33.2,35.8,38.4,41,43.9,46.7,,418
Latvia,..,20.6,26.5,39.2,38.3,40.7,42.4,43.4,44.2,45.5,46.5,48.6,50.9,,428
Lebanon,15.7,34.7,40.8,49.4,71.4,72,74,75.9,77.3,77.7,78.9,79.3,79.5,,422
Lesotho,2.2,2.9,3.3,3.8,4.8,5.2,5.5,5.6,5.7,5.9,6.1,6,6,,426
Liberia,..,..,3.8,3,4.3,4.6,5,5.4,5.5,5.5,5.4,5.5,5.6,,430
Libya,..,..,117.4,150.9,182.8,69.3,154.7,133.6,101.6,92.6,90,114,122.9,,434
