Botswana,7052,7834,7906,10824,12236,12776,13520,13966,13609,13588,13826,14177, a,72
Brazil,7409,7814,9796,10876,11888,12484,11715,12120,12689,10186,10366,10432, a,76
Brunei Darussalam,53203,56916,58788,59977,65948,66291,65440,64469,67488,65897,66138,65913, a,96
Bulgaria,6699,6605,9992,11942,12192,12428,12540,12933,13206,14102,15016,15622, a,100
Burkina Faso,706,815,921,1056,1084,1149,1192,1202,1209,1239,1287,1336, a,854
Burundi,727,643,601,670,843,859,879,886,827,796,774,763, a,108
Cabo Verde,1557,2602,3310,4489,4660,4704,4757,4708,4813,4995,5151,5523, a,132
Cambodia,920,1405,1567,2056,2060,2300,2420,2530,2649,2830,2976,3128, a,116
Cameroon,1819,1971,2218,2347,2377,2407,2460,2566,2628,2672,2693,2724, a,120
Canada,22372,26805,30528,31599,32544,32842,33473,33921,33905,34274,35012,35120, a,124
Central African Republic,685,653,648,796,819,856,542,541,562,584,605,622, a,140
Chad,791,741,1147,1465,1429,1510,1511,1572,1599,1470,1392,1377, a,148
Chile,6175,7743,9421,11768,12750,13586,14078,14429,14733,14929,14801,15212, a,152
China,1973,2855,4383,7511,8141,8796,9368,10086,10658,11294,11983,12665, a,156
Colombia,5629,5894,6366,8243,8773,9095,9522,9607,10254,10362,10270,10235, a,170
Comoros,1430,1485,1562,1748,1791,1801,1854,1863,1847,1859,1877,1812, a,174
Congo,3287,2943,2460,3483,3410,4065,4371,5088,6539,5798,5210,4989, a,178
Costa Rica,4773,5553,7576,8910,9403,10044,10097,10014,10429,10225,10396,10565, a,188
Croatia,8988,12295,16223,16853,16547,16287,16609,16876,17677,17869,18853,19442, a,191
Cuba,1891,2308,3074,4347,4487,4582,4703,4734,4921,4922,4989,5035, a,192
Cyprus,15907,18387,22665,26014,26670,24593,23297,23805,26213,26312,26951,27792, a,196
Czechia,13864,15197,17835,18774,19604,19840,19987,20241,21420,22148,23255,24114, a,203
Denmark,27635,32357,35323,36962,37919,38064,38794,39155,39378,40102,40607,41027, a,208
Djibouti,1204,1145,1350,1907,1999,2070,2229,2374,2575,2741,2803,2900, a,262
Dominican Republic,3250,4493,5360,7194,7753,8030,8185,8614,9554,10144,10504,11175, a,214
Ecuador,4649,4403,5305,6155,6493,6881,7059,7083,7242,7321,7370,7319, a,218
Egypt,2465,2587,2911,3630,4541,4609,4143,4230,4383,4195,4243,4365, a,818
El Salvador,3153,3592,3822,4733,4898,4891,5330,5133,5140,5177,5117,5234, a,222
Equatorial Guinea,1318,6502,14636,15601,16119,17362,16826,16400,16918,15356,14097,12783, a,226
Eritrea,1675,1900,1788,1591,1708,1289,1321,1331,1338,1336,1373,1404, a,232
Estonia,8672,11784,17473,16564,17877,18788,19456,19722,20402,21066,22147,22999, a,233
Ethiopia,418,466,498,784,849,898,966,1040,1120,1199,1281,1332, a,231
Fiji,3354,3583,4611,4933,5156,5117,5421,5368,5449,5449,5594,5838, a,242
Finland,21034,27419,31554,34074,33532,34235,32779,32869,33335,34119,34519,35066, a,246
France,22557,25753,27908,30509,31127,31262,31443,31299,31511,31763,32506,33005, a,250
Gabon,12225,10363,10786,9639,9605,10488,10899,11920,11607,11584,11485,11240, a,266
Gambia,879,957,980,781,725,752,773,745,771,757,771,800, a,270
Georgia,1379,2409,3046,4287,4696,5166,5480,5760,5956,5953,6217,6504, a,268
Germany,23450,26237,28085,32532,34620,34660,35228,35821,36446,37188,37979,38467, a,276
Ghana,1645,1803,2048,2513,2744,2848,3062,3022,2998,3014,3169,3287, a,288
Greece,12938,15947,21216,21332,19374,18848,18219,19126,19127,19223,19508,19749, a,300
Guatemala,2961,3632,3866,4138,3940,4707,4522,4574,4795,4736,4806,4864, a,320
Guinea,1112,1179,1150,1290,1331,1394,1430,1485,1516,1662,1864,1878, a,324
Guinea-Bissau,1205,1040,1039,1157,1235,1180,1159,1203,1237,1283,1293,1305, a,624
Guyana,1838,2225,2306,3286,3543,3781,3974,4154,4285,4462,4583,4676, a,328
Haiti,1288,1383,1227,1241,1301,1326,1362,1388,1385,1388,1386,1388, a,332
Honduras,1742,1808,2494,2835,2699,2630,2787,2884,2903,3015,3127,3214, a,340
Hungary,10828,12823,17208,17023,17258,17025,17778,18437,18810,19436,19905,21011, a,348
Iceland,22545,27185,31165,26613,28325,29701,33579,33735,35088,36950,38820,39244, a,352
India,928,1147,1514,1783,1780,1772,1875,2008,2159,2331,2493,2625, a,356
