Comoros,2581,2319,2389,2373,2426,2465,2483,2533,2526,2494,2491,2501,2514,,174
Congo,5323,4737,4621,4868,5323,5354,5415,5465,5695,5702,5404,5103,5024,,178
Costa Rica,7744,8865,9786,10929,12909,13303,13778,13930,14259,14617,15077,15430,15685,,188
Croatia,..,12754,15591,20103,20758,20759,20343,20299,20365,21026,21922,22835,23637,,191
Cyprus,22472,25524,29368,33629,33913,33192,31750,29978,29912,30673,32002,33048,33048, a,196
Czechia,20023,19271,21194,25781,28353,28797,28527,28380,29120,30605,31295,32571,33414,,203
Denmark,33786,37238,42338,44568,43998,44403,44337,44564,45057,45788,46522,47270,47673,,208
Djibouti,..,..,..,..,..,2744,..,..,..,..,..,..,..,,262
Dominica,6658,7180,8230,8700,10278,10250,10134,10066,10497,10215,10455,9438,9467,,212
Dominican Republic,5516,6577,8289,9150,11365,11581,11754,12183,12963,13717,14461,14953,15821,,214
Ecuador,7463,7716,7357,8551,9305,9884,10286,10634,10868,10704,10394,10454,10412,,218
Egypt,5898,6282,7504,8137,10019,9983,9982,9971,10032,10243,10461,10673,11014,,818
El Salvador,4512,5324,5612,5888,6281,6493,6646,6764,6848,6979,7119,7247,7393,,222
Equatorial Guinea,1018,1743,10938,31698,33990,34622,35888,32959,31743,27709,24297,22299,20865,,226
Eritrea,..,2224,2485,2287,1962,2103,..,..,..,..,..,..,..,,232
Estonia,..,11362,15703,22807,22741,24543,25692,26283,27113,27610,28565,29916,30991,,233
Ethiopia,655,577,621,736,1075,1162,1227,1319,1414,1518,1617,1724,1794,,231
Fiji,5892,6288,6676,7429,7353,7520,7612,7968,8406,8776,8969,9379,9781,,242
Finland,28906,27596,34887,39116,39848,40684,39913,39428,39018,39084,40052,41018,41899,,246
France,29464,30727,34705,36375,36815,37441,37377,37399,37576,37836,38098,38956,39556,,250
Gabon,19557,19917,17822,16955,15508,16011,16225,16505,16607,16685,16524,16145,15922,,266
Gambia,1445,1358,1449,1434,1552,1441,1476,1501,1442,1481,1444,1465,1517,,270
Georgia,7984,2326,3527,5245,6981,7546,8084,8383,8767,9005,9256,9702,10152,,268
Germany,31287,33653,36765,37704,40429,42693,42822,42914,43667,44043,44669,45462,45959,,276
Ghana,1901,2035,2219,2508,3026,3369,3596,3770,3791,3787,3830,4051,4212,,288
Greece,20686,21247,24839,29559,28726,26141,24364,23746,24082,24135,24189,24602,25141,,300
Grenada,7238,7116,9538,11699,11014,11040,10847,11027,11758,12436,12823,13397,13970,,308
Guatemala,5101,5598,6071,6269,6714,6845,6899,7005,7148,7293,7368,7423,7509,,320
Guinea,1343,1421,1519,1598,1666,1721,1784,1813,1837,1860,2007,2213,2338,,324
Guinea-Bissau,1634,1710,1411,1374,1431,1507,1442,1450,1426,1474,1527,1577,1596,,624
Guyana,2875,3956,4617,4729,5825,6107,6400,6686,6906,7087,7285,7399,7617,,328
Haiti,2114,1696,1757,1574,1510,1569,1591,1634,1657,1654,1655,1653,1656,,332
Honduras,3208,3236,3303,3655,3913,3984,4072,4111,4162,4247,4338,4469,4560,,340
Hungary,..,15327,17960,22464,22405,22841,22585,23121,24163,25077,25725,26861,28243,,348
Iceland,30066,29023,34950,40706,40137,40767,41077,42372,42775,44223,46819,47840,48606,,352
India,1906,2212,2710,3411,4451,4625,4817,5065,5378,5743,6145,6516,6899,,356
Indonesia,4626,6014,5807,6837,8458,8859,9267,9652,10003,10359,10748,11161,11606,,360
Iran (Islamic Republic of),11364,12263,13237,15764,18139,18401,16827,16587,17131,16683,18664,19098,19098, a,364
Iraq,11555,6580,12212,10930,13154,13694,15033,15557,15095,14964,16513,15830,15565,,368
Ireland,21658,26450,39385,46598,43515,44938,44829,45190,48809,60494,62798,66604,70361,,372
Israel,20728,24111,26789,26609,29665,30569,30645,31325,31927,32104,32743,33220,33661,,376
Italy,31142,33152,36536,37604,36201,36347,35228,34220,33946,34293,34735,35373,35739,,380
Jamaica,7301,8462,7940,8428,8018,8112,8016,8010,8019,8047,8115,8154,8266,,388
Japan,30582,32425,33872,35658,35750,35775,36368,37149,37337,37834,38108,38907,39294,,392
Jordan,6285,6883,7220,8736,9386,9124,8871,8662,8530,8408,8320,8299,8309,,400
Kazakhstan,13050,8283,9952,16014,20097,21277,21986,22972,23587,23524,23447,24079,24738,,398
Kenya,2348,2171,2098,2189,2436,2516,2562,2642,2713,2798,2891,2961,3077,,404
Kiribati,1944,1874,1989,1959,1752,1749,1803,1853,1815,1976,2048,2025,2035,,296
Kuwait,..,81257,70112,93734,75360,78022,78700,75597,72588,70265,70105,66009,65515,,414
Kyrgyzstan,3475,1696,2075,2370,2790,2921,2867,3117,3177,3234,3305,3394,3447,,417
Lao People's Democratic Republic,1708,2026,2488,3116,4217,4485,4772,5079,5385,5689,5996,6308,6614,,418
Latvia,..,8284,11175,17522,18252,19773,20828,21564,22172,23019,23710,25030,26437,,428
Lebanon,5584,9839,10617,10513,14406,13842,13355,12833,12349,11887,11757,11647,11607,,422
Lesotho,1299,1511,1637,1914,2419,2575,2715,2746,2811,2867,2936,2846,2865,,426
Liberia,..,..,1318,940,1101,1154,1211,1282,1258,1226,1176,1176,1161,,430
Libya,..,..,21913,26018,29494,11096,24609,21146,15965,14423,13860,17321,18406,,434
Lithuania,..,9357,12190,18527,21071,22854,24049,25144,26258,27042,28032,29604,31065,,440
Luxembourg,57618,65358,81690,88610,91743,92005,89505,90656,92349,93727,93941,93102,93734,,442
Madagascar,1653,1400,1444,1390,1386,1368,1371,1364,1372,1377,1397,1418,1453,,450
Malawi,747,826,884,868,1078,1098,1087,1112,1143,1143,1140,1154,1163,,454
Malaysia,10557,14607,16304,18555,21036,21807,22670,23412,24487,25390,26106,27272,28176,,458
Maldives,..,7777,9803,9252,11965,12486,12261,12573,12892,12684,13019,13333,13611,,462
Mali,1274,1313,1466,1764,1875,1878,1808,1797,1868,1922,1974,2019,2056,,466
Malta,16162,19805,24602,26321,28340,28597,29102,29999,31915,34485,35627,36989,38147,,470
Marshall Islands,2910,3550,2974,3048,3236,3265,3367,3450,3410,3382,3429,3532,3599,,584
Mauritania,2801,2878,2834,3091,3426,3484,3578,3686,3779,3723,3690,3696,3724,,478
Mauritius,7581,9077,11282,12877,15938,16562,17093,17629,18256,18879,19591,20319,21075,,480
Mexico,13580,13452,16130,16159,16160,16520,16891,16896,17150,17495,17791,17949,18102,,484
Micronesia (Federated States of),2722,3137,3120,3257,3320,3414,3312,3141,3030,3137,3121,3185,3196,,583
Mongolia,5123,4244,4655,6047,7688,8853,9753,10673,11286,11330,11245,11623,12209,,496
Montenegro,..,..,10397,11761,14035,14472,14066,14551,14797,15290,15737,16477,17278,,499
Morocco,3923,3927,4492,5373,6456,6704,6810,7018,7105,7325,7309,7509,7509, a,504
Mozambique,386,380,573,758,945,984,1027,1070,1118,1158,1168,1177,1180,,508
Myanmar,730,913,1289,2253,3688,3865,4114,4423,4737,5030,5289,5610,5922,,104
Namibia,5713,6065,6539,7701,8678,8960,9250,9600,10030,10450,10374,10093,9898,,516
Nauru,..,..,..,..,6606,7339,7905,10078,12561,12270,12951,13670,13373,,520
Nepal,1188,1340,1527,1678,1987,2053,2155,2250,2385,2455,2447,2606,2724,,524
Netherlands,32305,34996,42017,43829,46102,46599,45949,45754,46238,46936,47710,48789,49804,,528
New Zealand,24038,25517,28102,31924,32233,32735,33280,33876,34608,35178,35703,36046,36355,,554
Nicaragua,2973,2913,3416,3718,3969,4163,4375,4530,4685,4846,5002,5169,4910,,558
Niger,893,784,755,763,812,799,860,870,900,903,912,921,932,,562
Nigeria,3361,2992,3069,4122,5085,5214,5291,5495,5688,5686,5449,5351,5316,,566
Norway,42814,50052,58045,62865,62350,62145,63003,62896,63419,64028,64220,64965,65441,,578
Oman,35042,38317,43966,41459,45336,41942,42620,41331,39700,39243,39249,37329,36831,,512
Pakistan,3056,3332,3401,3853,4072,4095,4149,4241,4348,4459,4609,4771,4928,,586
Palau,..,..,12350,14019,13630,14534,15147,14857,15548,17132,17164,16474,17202,,585
Panama,7855,9257,10625,11938,15631,17100,18453,19393,20032,20822,21484,22244,22674,,591
Papua New Guinea,2218,2980,2616,2621,3103,3070,3146,3200,3560,3820,3898,3881,3821,,598
Paraguay,7933,8715,7984,8021,9741,10017,9827,10509,10871,11056,11381,11790,12063,,600
Peru,5254,6160,6428,7526,10075,10626,11186,11734,11887,12121,12415,12518,12794,,604
Philippines,4014,3963,4224,4776,5583,5690,5967,6282,6559,6848,7210,7581,7943,,608
Poland,10277,11300,14733,17194,21771,22851,23218,23555,24355,25307,26094,27346,28752,,616
Portugal,20167,21851,25999,26593,27238,26780,25806,25655,26024,26608,27206,28035,28687,,620
Qatar,..,..,108287,109732,119974,124025,120366,118118,116694,115940,114456,113262,112532,,634
Romania,11446,10426,10419,14430,17469,17908,18361,19077,19802,20666,21782,23442,24544,,642
Russian Federation,20639,12813,14051,19326,23326,24310,25156,25551,25285,24517,24417,24791,24791, a,643
Rwanda,868,692,803,1063,1396,1468,1559,1593,1672,1774,1832,1893,2003,,646
Saint Kitts and Nevis,15481,17965,21990,24648,24575,24796,24416,25523,26832,27179,27581,27679,28295,,659
Saint Lucia,9633,10199,10665,11051,11667,12049,11936,11641,11591,11568,11958,12334,12344,,662
Saint Vincent and the Grenadines,5577,6623,7563,9330,10013,9965,10092,10259,10361,10472,10649,10704,10940,,670
Samoa,3651,3688,4330,5341,5407,5673,5647,5491,5524,5567,5935,6070,6089,,882
San Marino,..,..,75557,83361,73581,65726,59924,57307,56110,55897,56731,57297,57297, a,674
Sao Tome and Principe,..,..,..,2201,2560,2612,2639,2713,2837,2890,2954,3011,3033,,678
Saudi Arabia,42700,44210,43281,45710,45428,48474,49541,49359,49732,50467,50164,48804,48996,,682
Senegal,2323,2230,2418,2682,2776,2739,2800,2800,2903,3002,3104,3232,3356,,686
Serbia,..,7349,7937,10836,13367,13747,13720,14185,14026,14346,14903,15289,16035,,688
Seychelles,14217,15097,18453,17812,20365,22557,22618,23540,24221,24857,25631,26416,27114,,690
Sierra Leone,1248,950,909,1064,1208,1255,1414,1669,1707,1326,1376,1404,1425,,694
Singapore,34912,45586,52357,62639,73061,76034,77493,79919,81965,83342,84704,87760,90091,,702
Slovakia,..,13184,15605,20021,25159,25835,26218,26581,27285,28397,29247,30133,31326,,703
Slovenia,18899,18431,22723,26955,28678,28805,27977,27623,28410,29043,29912,31351,32743,,705
Solomon Islands,1883,2399,1817,1680,1871,2065,2102,2108,2097,2094,2109,2126,2142,,90
South Africa,9900,9174,9701,10995,11973,12179,12253,12358,12388,12356,12246,12233,12143,,710
South Sudan,..,..,..,..,4013,3701,1940,2143,2174,1910,1678,1678,1678, b,728
Spain,23759,25051,29967,32902,32507,32068,31109,30679,31195,32357,33356,34269,35056,,724
Sri Lanka,3613,4463,5543,6469,8503,9156,9980,10239,10647,11078,11447,11706,11956,,144
Sudan,1762,1984,2319,2751,3397,3643,4074,4152,4162,4262,4357,4436,4436, a,729
Suriname,10417,9502,9801,11931,14131,14788,15016,15285,15159,14488,13543,13636,13776,,740
Sweden,30976,31118,36902,41270,42989,43809,43356,43522,44214,45698,46339,46681,47194,,752
Switzerland,48182,46257,50776,52770,55866,56184,56150,56536,57218,57325,57610,57998,59019,,756
Tajikistan,3661,1276,1185,1721,2138,2246,2360,2476,2580,2670,2785,2924,3061,,762
Thailand,6653,9385,9190,11527,13489,13537,14450,14771,14852,15256,15710,16286,16905,,764
Timor-Leste,..,..,3265,6501,9005,9860,10174,8887,6467,7657,7566,6741,6796,,626
Togo,1298,1164,1235,1146,1242,1286,1335,1379,1424,1467,1501,1530,1565,,768
Tonga,3577,4269,4607,4954,4991,5151,5239,5124,5268,5477,5643,5746,5696,,776
Trinidad and Tobago,10912,12880,18336,26438,31260,30980,31180,31597,31092,31460,29258,28567,28647,,780
Tunisia,5608,6124,7567,8799,10441,10139,10442,10639,10846,10861,10877,10950,11096,,788
Turkey,11400,12310,13862,16310,17959,19652,20259,21610,22343,23312,23664,25024,25287,,792
Turkmenistan,8317,4601,5333,6495,9942,11212,12235,13236,14332,14992,15649,16390,17129,,795
Tuvalu,2377,2647,3052,2884,2987,3180,3028,3132,3141,3389,3453,3548,3593,,798
Uganda,773,922,1067,1261,1585,1680,1690,1695,1722,1750,1767,1768,1807,,800
Ukraine,10464,5060,4797,7279,7824,8282,8322,8339,8243,7465,7678,7907,7907, a,804
United Arab Emirates,112350,102387,103318,91625,55363,56574,57852,60403,62949,65789,67045,66676,66616,,784
Uruguay,9842,11513,12881,12991,17159,17993,18575,19376,19939,19945,20210,20658,20916,,858
Uzbekistan,3089,2256,2520,3079,4240,4470,4765,5068,5341,5639,5880,6040,6240,,860
Vanuatu,2550,2611,2824,2611,2949,2906,2876,2851,2837,2739,2775,2827,2846,,548
Venezuela (Bolivarian Republic of),14619,15503,14589,15147,16887,17319,17998,17982,17131,17131,17131,17131,17131, c,862
Viet Nam,1458,1962,2574,3425,4433,4662,4856,5066,5312,5608,5896,6233,6609,,704
Yemen,3426,3629,3998,4254,4566,3876,3861,3939,3828,3109,2619,2404,2285,,887
Zambia,2339,2039,2126,2524,3338,3419,3566,3631,3685,3678,3703,3718,3748,,894
Zimbabwe,2820,2736,2946,1975,1928,2168,2487,2492,2506,2509,2489,2568,2688,,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,,20
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,,192
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,,438
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,,760
United Kingdom,26675,28517,33152,37172,36509,36820,37094,37601,38419,39010,39425,39862,40158,,826
United States,36813,39171,45661,49513,49479,49883,50632,51209,52081,53188,53632,54471,55681,,840
