Equatorial Guinea,36.8,29.4,4.7,-21.5,1.1,-2.8,-2.7,-2.5,3.3,12,21.1,21.5,20.8,226
Eritrea,..,50.1,150.5,125.7,114.4,104,..,..,..,..,..,..,..,232
Estonia,..,..,..,68,96.5,82.5,75.3,71.1,70.1,75.8,78.9,72.9,71.3,233
Ethiopia,39.2,30.1,48.6,49.5,..,..,..,..,..,..,..,..,..,231
Fiji,38.5,45.8,37.9,111.6,132.3,115.6,114.6,112,105.5,111.4,114.8,116.2,..,242
Finland,..,..,..,91.3,152.2,189.4,165.4,142.1,164.4,156.7,154.4,120.6,137.7,246
France,..,..,..,106.1,143.8,145.9,147.7,143.8,146.8,147.4,154.8,157.4,160,250
Gabon,20,18.3,12.5,9.7,10.5,11.5,14.1,12.9,13.8,16.9,23.2,18.4,23.1,266
Gambia,3.4,3.7,7.4,19.6,39,43.8,44.2,32.7,36.3,..,..,38.1,37.6,270
Georgia,..,8.1,21.5,21.6,35.5,36.7,38.4,46.4,52.5,57.5,65.4,65.6,71.9,268
Germany,..,..,..,132.6,164.8,162,156.9,136.9,139.5,134.1,133.1,128,125.9,276
Ghana,17.5,18.9,39.3,30.8,28.4,27.5,31.3,26.4,27.9,27.2,26.7,24.5,..,288
Greece,..,..,..,106.7,147.6,156,139.1,137.1,137.8,134.5,124.4,115.1,91.9,300
Grenada,46.7,53.9,72.4,61.4,92.8,95.7,91.2,79.4,68.4,56.9,53.3,48.8,45.4,308
Guatemala,25.9,30,25.9,34.4,36.5,36.8,39.1,40.6,41.8,42.8,41.9,40.5,41.1,320
Guinea,..,7.7,8.9,17.7,25.8,24.1,16,18.1,21.5,26.1,23.1,..,..,324
Guinea-Bissau,77.5,3.1,10.6,7.2,10.2,12,21.2,18.3,22.7,24.4,24,20.9,21.4,624
Guyana,265.9,166.3,100.5,98.9,48.7,51,50.4,55.3,60.8,63.9,61.6,62.2,68.9,328
Haiti,31.6,25.3,34.3,34.3,21.3,18.1,21,26.2,28.9,32.2,31.6,32.9,34,332
Honduras,25.3,19.2,23.5,38.4,49.6,51.4,55.3,56.8,57.5,55.8,60.5,59.9,64.1,340
Hungary,..,79.3,54.2,61.4,80.3,76.8,68.2,65.1,60.5,58.2,57.8,58.2,55.4,348
Iceland,48.6,51.6,94.8,234.8,244.3,178.7,150.8,135.2,111.3,104.4,95.5,97.8,96.7,352
India,50.8,43.6,52.1,59.3,73.4,76.1,77.2,77.9,75.9,75.6,74.5,72.1,..,356
Indonesia,50.3,51.8,60.7,46.2,34.2,36.5,40.8,43.4,43.4,46.8,48,47,47.2,360
Iran (Islamic Republic of),59.9,37.7,40.6,42.4,54.2,55,60.5,52.1,56.5,68.5,77.6,..,..,364
Iraq,..,..,..,-1,-1.2,-0.5,-1.9,-1.4,0.3,8.8,18.8,17.9,7,368
Ireland,..,..,..,152.7,235.9,228.5,205.1,192.3,160.3,107,99.7,84.8,73.5,372
Israel,94.6,72.8,72.2,86.6,88.9,89.8,85.9,84.1,84.4,82,80.7,79.1,80.3,376
Italy,..,..,..,104.7,160.5,164.1,177.4,172.7,172.1,169.7,169.8,165.2,162.9,380
Jamaica,45.8,27.1,46.3,56.1,51.1,49.6,51.8,51.7,52.5,49.8,53.6,..,..,388
Japan,253,277.4,295,296.7,313.8,322.3,329.7,338.6,346.5,342.7,348.6,..,..,392
Jordan,106.3,82.8,78.7,109.7,99.6,106.5,114.3,111.7,107.4,106,108.2,109.2,..,400
Kazakhstan,..,9.5,12.3,39,45.4,39.3,40.2,38.3,36.1,45.7,43.3,34.3,38.2,398
Kenya,35.8,42.7,35.7,37.4,41.1,41.7,42.2,43.8,44.7,45.2,43.6,40.6,39.1,404
Kuwait,..,88.8,70.4,55.3,75.3,59.4,51.4,54.3,61.1,87,95.8,92.5,79.9,414
Kyrgyzstan,..,25.7,12.2,13.8,12.5,11.2,12.8,14.2,15.9,19.3,18.7,20.1,22.4,417
Lao People's Democratic Republic,5,9.9,9,8.1,26.7,..,..,..,..,..,..,..,..,418
Latvia,..,..,..,..,91,79.2,63.9,60.3,53.9,58.1,57.2,53.3,44.5,428
Lebanon,132.6,82.9,175.1,179.7,166.9,173.8,171.3,177.5,184.6,194.2,202.9,199,..,422
Lesotho,30.6,-7.7,3.1,-0.9,-5.8,0.6,2.9,1.6,0.6,2.3,9.2,15.9,17.3,426
Liberia,..,..,105.6,109.2,20.6,22.3,21.6,24,23,23.4,26.1,..,..,430
Libya,103.5,108,50.7,-41.5,-60.4,-114.7,-57.5,-57.9,-42,2.9,55.8,53.9,43.4,434
Lithuania,..,..,..,..,63.8,57,51.9,50.9,45.3,47.2,52,45.9,47.7,440
Luxembourg,..,..,..,128.5,221.1,209.8,204.7,188.2,193.5,193.3,195.6,193.9,189.7,442
Madagascar,22.2,17.3,15.2,12.8,12.6,14.4,15.5,18.3,19.2,20.5,20.6,20.9,21,450
Malawi,19.7,14.6,12.5,12.5,23.3,26.7,25.2,21,15.1,17,19.6,..,..,454
Malaysia,72.7,126.7,138.4,117.7,123.3,124.4,129.8,138.4,140.6,144.6,145.1,140.3,143.1,458
Maldives,33,34.9,34.8,47,76.9,70.7,64.6,60.6,58.3,61.3,68.2,64.6,64.9,462
Mali,12.3,10.1,11.7,17.9,15.5,18,21.1,21.7,24,27,31.3,32.1,32.3,466
Malta,..,..,..,149.2,148.9,153.5,150.6,143.9,136.1,130.6,124.1,116.2,116.2,470
Mauritania,470.3,..,..,522.6,389.3,346.2,30.2,31,38.4,42.4,42.1,42.9,..,478
Mauritius,44.7,66.1,69.6,103.8,100.3,103.2,111.5,120.3,114,116.3,113.5,125.7,111,480
Mexico,37.6,39.5,28,31,43.6,44.1,45.6,48.5,49.1,52.5,54.7,54.8,54.4,484
Micronesia (Federated States of),..,-31,-42.3,-24.5,-14.7,-18.3,-19.1,-27.2,-26.2,-32.7,-41.2,-46.8,..,583
Mongolia,..,6.4,9,26.6,25.8,33.8,25.7,58.5,66.4,69.3,76,65.5,65.5,496
Montenegro,..,..,..,17.5,67.4,61.2,..,..,..,..,..,..,..,499
Morocco,36.7,50,77.3,69.3,119.5,127,132.1,130.2,132.3,127.8,132.4,134.4,110.2,504
Mozambique,15.6,4.8,9.3,7.1,23.2,24.3,27.2,28.5,34.9,43.2,44.1,32.1,32.9,508
Myanmar,39.6,32.5,31.2,23.1,25.2,27.6,22.7,26.8,28.9,33.3,39.3,42.5,..,104
Namibia,16.5,49.3,43.6,54.2,51.7,51.5,49.7,51.2,55.5,68,76.9,76.5,77.3,516
Nepal,28,34,40.8,42.2,67.4,66.7,68.3,69,70.7,75,86,85.7,102.2,524
Netherlands,..,..,..,164.6,215.6,221.4,231.4,206.9,215.5,204.4,207.2,190.8,176.8,528
New Zealand,77.4,89.5,108,126.4,150.7,..,..,150.1,158.7,160.9,165.4,165.5,154.8,554
Nicaragua,162.8,91.1,72.2,61.6,50.3,46.3,46,48.5,46.9,47.8,49.3,51.2,49.2,558
Niger,16.2,8.7,9.2,10.3,14.2,15.8,14.5,13.6,14.7,18.6,20.4,21.4,22,562
Nigeria,12.5,15.3,6.7,5.5,19.1,22.4,20.9,21.9,21.6,23.1,26.6,23.3,21.2,566
Norway,65,55.7,67,106.8,126,125.3,123.2,129,134.7,144.8,150.2,150.7,147.6,578
Oman,15,25.6,37.6,27.8,37.2,34.1,36,36.6,41.6,65.4,70.5,71,66.8,512
Pakistan,50.9,51,41.6,46.5,46.2,42.7,46.2,49.5,47.5,48.8,52.4,53.9,58.3,586
Panama,43.5,55.6,89,85.3,80.4,81.1,80.4,63.9,78,80.4,80.7,82.7,82.6,591
Papua New Guinea,35.7,29.2,28.2,22.2,23.7,21.8,28.2,35.4,37.2,40.5,44.6,41.9,37.5,598
Paraguay,13.5,26.8,25,13.8,21.9,24.5,28.4,28.7,31.3,37,34.4,33.4,35.9,600
Peru,20.1,12.3,26.8,17.6,18.9,19.1,22,26,29.8,33.2,32.7,35.1,37.5,604
Philippines,23.2,55.7,58.3,47.2,49.2,52,50.9,51.9,55.9,59,63.5,66.3,69.1,608
Poland,18.4,29.4,34.3,38.4,63.2,65.9,64.1,67.2,71,73.1,75.6,73.4,73.5,616
Portugal,..,..,..,142,205.9,204.8,201.2,188.6,173.7,166.6,158.5,152.9,149.6,620
Qatar,33.6,61.2,40.1,42.7,71.6,72.4,79.8,75.2,81.9,124,147.7,147.8,132.8,634
